dataset_name,dataset_id,tissue_type,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000158,club cell,5
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000236,B cell,340
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000451,dendritic cell,2
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000556,megakaryocyte,12
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000623,natural killer cell,331
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000767,basophil,1
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000782,myeloid dendritic cell,14
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000784,plasmacytoid dendritic cell,14
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000786,plasma cell,4
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000810,"CD4-positive, alpha-beta thymocyte",317
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000811,"CD8-positive, alpha-beta thymocyte",351
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000860,classical monocyte,636
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000875,non-classical monocyte,73
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000897,"CD4-positive, alpha-beta memory T cell",248
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,female,unknown,51-year-old human stage,unknown,CL:0000909,"CD8-positive, alpha-beta memory T cell",101
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000236,B cell,135
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000556,megakaryocyte,17
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000623,natural killer cell,192
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000646,basal cell,24
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000782,myeloid dendritic cell,17
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000784,plasmacytoid dendritic cell,7
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000786,plasma cell,2
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000810,"CD4-positive, alpha-beta thymocyte",327
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000811,"CD8-positive, alpha-beta thymocyte",280
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000860,classical monocyte,428
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000875,non-classical monocyte,127
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000897,"CD4-positive, alpha-beta memory T cell",346
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,blood,UBERON:0000178,male,unknown,75-year-old human stage,unknown,CL:0000909,"CD8-positive, alpha-beta memory T cell",318
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchoalveolar duct junction,UBERON:0004903,unknown,unknown,unknown,unknown,CL:0000003,native cell,5801
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,female,unknown,55-year-old human stage,unknown,CL:0000003,native cell,34
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,female,unknown,55-year-old human stage,unknown,CL:0000057,fibroblast,2
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,female,unknown,55-year-old human stage,unknown,CL:0000064,ciliated cell,404
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,female,unknown,55-year-old human stage,unknown,CL:0000151,secretory cell,1191
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,female,unknown,55-year-old human stage,unknown,CL:0000158,club cell,700
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,female,unknown,55-year-old human stage,unknown,CL:0000160,goblet cell,215
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,female,unknown,55-year-old human stage,unknown,CL:0000646,basal cell,1124
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,female,unknown,55-year-old human stage,unknown,CL:0005006,ionocyte,41
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,male,unknown,53-year-old human stage,unknown,CL:0000003,native cell,29
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,male,unknown,53-year-old human stage,unknown,CL:0000057,fibroblast,182
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,male,unknown,53-year-old human stage,unknown,CL:0000064,ciliated cell,791
Azimuth meta-analysis of 10 datasets of healthy and diseased human lung,f72958f5-7f42-4ebb-98da-445b0c6de516,bronchus,UBERON:0002185,male,unknown,53-year-old human stage,unknown,CL:0000151,secretory cell,728
